Product,Category,Price,Stock,Revenue,Date
Laptop Pro X1,Electronics,1299.99,45,58499.55,2024-01-15
Wireless Mouse,Accessories,29.99,250,7497.50,2024-01-16
USB-C Hub,Accessories,49.99,180,8998.20,2024-01-17
Monitor 4K,Electronics,599.99,32,19199.68,2024-01-18
Keyboard Mechanical,Accessories,89.99,95,8549.05,2024-01-19
Webcam HD,Electronics,79.99,120,9598.80,2024-01-20
Headphones Noise-Cancel,Audio,249.99,65,16249.35,2024-01-21
Standing Desk,Furniture,449.99,28,12599.72,2024-01-22
Office Chair Ergonomic,Furniture,399.99,38,15199.62,2024-01-23
Desk Lamp LED,Accessories,39.99,150,5998.50,2024-01-24